#############NEW RUN STARTED#############
#############NEW RUN STARTED#############
rx_layout104.csv rx_layout1066.csv 0.364238852954
rx_layout104.csv rx_layout1074.csv 0.368048905096
rx_layout104.csv rx_layout1075.csv 0.368048905096
rx_layout104.csv rx_layout1077.csv 0.448056429423
rx_layout104.csv rx_layout1080.csv 0.365198078178
rx_layout104.csv rx_layout1083.csv 0.43873290735
rx_layout104.csv rx_layout1089.csv 0.335094635124
rx_layout104.csv rx_layout1094.csv 0.466281129314
rx_layout104.csv rx_layout1107.csv 0.314441793766
rx_layout104.csv rx_layout1109.csv 0
rx_layout104.csv rx_layout1121.csv 0.350394060814
rx_layout1044.csv rx_layout100.csv 0.467831332026
rx_layout1044.csv rx_layout1002.csv 0
rx_layout1044.csv rx_layout1003.csv 0
rx_layout1044.csv rx_layout1004.csv 0
rx_layout1044.csv rx_layout1005.csv 0
rx_layout1044.csv rx_layout1013.csv 0.356178910357
rx_layout1044.csv rx_layout1014.csv 0
rx_layout1044.csv rx_layout1016.csv 0
rx_layout1044.csv rx_layout104.csv 0.457828740757
rx_layout1044.csv rx_layout1044.csv 1.0
rx_layout1044.csv rx_layout1046.csv 0.417230055764
rx_layout1044.csv rx_layout1047.csv 0
rx_layout1044.csv rx_layout1059.csv 0.42415678045
rx_layout1044.csv rx_layout1063.csv 0.429967853
rx_layout1044.csv rx_layout1066.csv 0.365722311581
rx_layout1044.csv rx_layout1074.csv 0.348395011213
rx_layout1044.csv rx_layout1075.csv 0.348395011213
rx_layout1044.csv rx_layout1077.csv 0.457108888122
rx_layout1044.csv rx_layout1080.csv 0.391816624705
rx_layout1044.csv rx_layout1083.csv 0.424492435152
rx_layout1044.csv rx_layout1089.csv 0.333921869512
rx_layout1044.csv rx_layout1094.csv 0.518803724301
rx_layout1044.csv rx_layout1107.csv 0.367252320325
rx_layout1044.csv rx_layout1109.csv 0
rx_layout1044.csv rx_layout1121.csv 0.336798723464
rx_layout1046.csv rx_layout100.csv 0.406959754757
rx_layout1046.csv rx_layout1002.csv 0
rx_layout1046.csv rx_layout1003.csv 0
rx_layout1046.csv rx_layout1004.csv 0.326580852696
rx_layout1046.csv rx_layout1005.csv 0
rx_layout1046.csv rx_layout1013.csv 0.468430850561
rx_layout1046.csv rx_layout1014.csv 0.295963089267
rx_layout1046.csv rx_layout1016.csv 0
rx_layout1046.csv rx_layout104.csv 0.442717304656
rx_layout1046.csv rx_layout1044.csv 0.447650717889
rx_layout1046.csv rx_layout1046.csv 1.0
rx_layout1046.csv rx_layout1047.csv 0
rx_layout1046.csv rx_layout1059.csv 0.630386847621
rx_layout1046.csv rx_layout1063.csv 0.969598909422
rx_layout1046.csv rx_layout1066.csv 0.560874821436
rx_layout1046.csv rx_layout1074.csv 0.44776651893
rx_layout1046.csv rx_layout1075.csv 0.44776651893
rx_layout1046.csv rx_layout1077.csv 0.438176450491
rx_layout1046.csv rx_layout1080.csv 0.485306915056
